protocol,model,objective,rec_metric,alpha,rec_value,explainability
legacy_four_model,TPRec,LIR,recall,0.7,0.0408,0.9413
legacy_four_model,TPRec,LIR,recall,0.75,0.0401,0.9427
legacy_four_model,TPRec,LIR,recall,0.8,0.0397,0.9437
legacy_four_model,TPRec,LIR,recall,0.85,0.0394,0.9444
legacy_four_model,TPRec,LIR,recall,0.9,0.0392,0.9448
legacy_four_model,TPRec,LIR,recall,0.95,0.039,0.945
legacy_four_model,TPRec,LIR,recall,1.0,0.0293,0.9451
legacy_four_model,PGPR,SEP,ndcg,0.0,0.2968,0.4798
legacy_four_model,PGPR,SEP,ndcg,0.05,0.2948,0.7814
legacy_four_model,PGPR,SEP,ndcg,0.1,0.2924,0.8379
legacy_four_model,PGPR,SEP,ndcg,0.15,0.2919,0.8768
legacy_four_model,PGPR,SEP,ndcg,0.2,0.2919,0.9013
legacy_four_model,PGPR,SEP,ndcg,0.25,0.2934,0.9173
legacy_four_model,PGPR,SEP,ndcg,0.3,0.2919,0.929
legacy_four_model,PGPR,SEP,ndcg,0.35,0.2881,0.938
legacy_four_model,PGPR,SEP,ndcg,0.4,0.2847,0.945
legacy_four_model,PGPR,SEP,ndcg,0.45,0.2812,0.9508
legacy_four_model,PGPR,SEP,ndcg,0.5,0.2802,0.956
legacy_four_model,PGPR,SEP,ndcg,0.55,0.279,0.9604
legacy_four_model,PGPR,SEP,ndcg,0.6,0.2763,0.9644
legacy_four_model,PGPR,SEP,ndcg,0.65,0.2758,0.9679
legacy_four_model,PGPR,SEP,ndcg,0.7,0.2732,0.9712
legacy_four_model,PGPR,SEP,ndcg,0.75,0.2672,0.9742
legacy_four_model,PGPR,SEP,ndcg,0.8,0.2643,0.9768
legacy_four_model,PGPR,SEP,ndcg,0.85,0.2565,0.9791
legacy_four_model,PGPR,SEP,ndcg,0.9,0.2483,0.9813
legacy_four_model,PGPR,SEP,ndcg,0.95,0.2346,0.9828
legacy_four_model,PGPR,SEP,ndcg,1.0,0.2199,0.9833
legacy_four_model,UCPR,SEP,ndcg,0.0,0.252,0.4935
legacy_four_model,UCPR,SEP,ndcg,0.05,0.2518,0.6748
legacy_four_model,UCPR,SEP,ndcg,0.1,0.2509,0.6891
legacy_four_model,UCPR,SEP,ndcg,0.15,0.2508,0.7012
legacy_four_model,UCPR,SEP,ndcg,0.2,0.2507,0.7111
